"","ryear","rname","ryear2","uf","vyear","vname","uf","rcropf"
"73","1995","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1995.tif","19921996","AP","19921996","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AP_1992_1996.shp","AP","./output1/mun_rasters2/AP_1992_1996"
"74","1995","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1995.tif","19921996","MT","19921996","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//MT_1992_1996.shp","MT","./output1/mun_rasters2/MT_1992_1996"
"75","1995","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1995.tif","19921996","RO","19921996","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//RO_1992_1996.shp","RO","./output1/mun_rasters2/RO_1992_1996"
"76","1995","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1995.tif","19921996","TO","19921996","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//TO_1992_1996.shp","TO","./output1/mun_rasters2/TO_1992_1996"
"77","1995","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1995.tif","19922000","AC","19922000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AC_1992_2000.shp","AC","./output1/mun_rasters2/AC_1992_2000"
"78","1996","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1996.tif","19811996","RR","19811996","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//RR_1981_1996.shp","RR","./output1/mun_rasters2/RR_1981_1996"
"79","1996","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1996.tif","19812000","AM","19812000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AM_1981_2000.shp","AM","./output1/mun_rasters2/AM_1981_2000"
"80","1996","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1996.tif","19921996","AP","19921996","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AP_1992_1996.shp","AP","./output1/mun_rasters2/AP_1992_1996"
"81","1996","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1996.tif","19921996","MT","19921996","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//MT_1992_1996.shp","MT","./output1/mun_rasters2/MT_1992_1996"
"82","1996","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1996.tif","19921996","RO","19921996","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//RO_1992_1996.shp","RO","./output1/mun_rasters2/RO_1992_1996"
"83","1996","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1996.tif","19921996","TO","19921996","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//TO_1992_1996.shp","TO","./output1/mun_rasters2/TO_1992_1996"
"84","1996","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1996.tif","19922000","AC","19922000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AC_1992_2000.shp","AC","./output1/mun_rasters2/AC_1992_2000"
"85","1997","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1997.tif","19812000","AM","19812000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AM_1981_2000.shp","AM","./output1/mun_rasters2/AM_1981_2000"
